Asset ID,Plant,Equipment Installation Date,Last Inspection Date,,Asset Type,Last Inspection Comment,Work Order Rasised Date,Type of Corrosion,Work Order Comment (WO),Type of Work Order (WO),Resolution Comment ,Timeline (in hrs),Approval time (in hrs),Production Loss (in %),Rate of Corrosion (mpy),Equipmet Criticality,Next Planned Manitenance Date
AS0041,Plant-C,01-04-2001,10-04-2020,,Evaporator,No Issue seen,04-12-2008,Fatigue,Fatigue corrosion was found with 0 degradation of  Evaporator on 0 of surface area,NA,,,,,0,Medium,10-01-2024
AS0042,Plant-C,18-11-1999,11-04-2020,,Evaporator,NA,,Stress,Stress corrosion was found with 0 degradation of  Evaporator on 0 of surface area,NA,,,,,376,Low,11-01-2024
AS0037,Plant-A,26-07-2001,12-04-2020,,Evaporator,Equipment deformation Seen,,Erosion,Erosion corrosion was found with 0.5 degradation of  Evaporator on 0.43 of surface area,Replacement,The affected section of the evaporator will be replaced to ensure optimal performance.,7,3,,463,Medium,12-01-2024
AS0038,Plant-A,06-04-1999,13-04-2020,,Evaporator,High Corrosion,,Atmospheric,Atmospheric corrosion was found with 0.35 degradation of  Evaporator on 0.45 of surface area,Retrofitment,A protective coating will be applied to prevent further corrosion.,5,2,,16,High,13-01-2024
AS0039,Plant-B,29-09-2000,14-04-2020,,Evaporator,Equipment deformation Seen,,Pitting,Pitting corrosion was found with 0.59 degradation of  Evaporator on 0.6 of surface area,Replacement,The affected section of the evaporator will be replaced to ensure optimal performance.,7,3,,371,Medium,14-01-2024
AS0040,Plant-B,27-01-2001,15-04-2020,,Finned Tube Heat Exchanger,Equipment deformation Seen,03-09-2017,Atmospheric,Atmospheric corrosion was found with 0.54 degradation of  Finned Tube Heat Exchanger on 0.32 of surface area,Replacement,The entire heat exchanger will be replaced to ensure optimal performance.,10,4,,474,Low,15-01-2024
AS0043,Plant-A,26-01-2000,16-04-2020,,Finned Tube Heat Exchanger,Sign of Corrosion,24-06-2007,Fatigue,Fatigue corrosion was found with 0.14 degradation of  Finned Tube Heat Exchanger on 0.26 of surface area,Maintenance,Regular maintenance will be performed to mitigate further corrosion.,4,2,,3,Low,16-01-2024
AS0044,Plant-A,30-12-1999,17-04-2020,,Finned Tube Heat Exchanger,High Corrosion,18-04-2010,Fatigue,Fatigue corrosion was found with 0.25 degradation of  Finned Tube Heat Exchanger on 0.31 of surface area,Retrofitment,The affected section of the heat exchanger will be replaced and reinforced.,7,3,,95,Medium,17-01-2024
AS0045,Plant-B,18-02-2001,18-04-2020,,Finned Tube Heat Exchanger,Equipment deformation Seen,,Atmospheric,Atmospheric corrosion was found with 0.48 degradation of  Finned Tube Heat Exchanger on 0.63 of surface area,Replacement,The entire heat exchanger will be replaced to ensure optimal performance.,10,4,,591,High,18-01-2024
AS0046,Plant-B,14-06-1999,19-04-2020,,Finned Tube Heat Exchanger,NA,,Erosion,Erosion corrosion was found with 0 degradation of  Finned Tube Heat Exchanger on 0 of surface area,NA,,,,,134,High,19-01-2024
AS0047,Plant-C,14-11-1999,20-04-2020,,Finned Tube Heat Exchanger,High Corrosion,,Fatigue,Fatigue corrosion was found with 0.37 degradation of  Finned Tube Heat Exchanger on 0.51 of surface area,Retrofitment,The affected area will be repaired and reinforced.,6,2,,59,Medium,20-01-2024
AS0048,Plant-C,13-11-2000,21-04-2020,,Finned Tube Heat Exchanger,Equipment deformation Seen,,Atmospheric,Atmospheric corrosion was found with 0.49 degradation of  Finned Tube Heat Exchanger on 0.3 of surface area,Replacement,The entire heat exchanger will be replaced to ensure optimal performance.,10,4,,338,High,21-01-2024
AS0043,Plant-A,26-03-2000,22-04-2020,,Finned Tube Heat Exchanger,Sign of Corrosion,12-08-2008,Fatigue,Fatigue corrosion was found with 0.06 degradation of  Finned Tube Heat Exchanger on 0.52 of surface area,Maintenance,Regular maintenance will be performed to mitigate further corrosion.,4,2,,2,Low,22-01-2024
AS0044,Plant-A,12-05-2000,23-04-2020,,Finned Tube Heat Exchanger,NA,17-11-2007,Pitting,Pitting corrosion was found with 0 degradation of  Finned Tube Heat Exchanger on 0 of surface area,NA,,,,,155,Low,23-01-2024
AS0045,Plant-B,13-10-2000,24-04-2020,,Finned Tube Heat Exchanger,Equipment deformation Seen,17-05-2009,Pitting,Pitting corrosion was found with 0.6 degradation of  Finned Tube Heat Exchanger on 0.45 of surface area,Replacement,The affected section of the heat exchanger will be replaced to ensure optimal performance.,7,3,,282,Low,24-01-2024
AS0046,Plant-B,20-12-2000,25-04-2020,,Finned Tube Heat Exchanger,Sign of Corrosion,,Fatigue,Fatigue corrosion was found with 0.21 degradation of  Finned Tube Heat Exchanger on 0.4 of surface area,Maintenance,Regular maintenance will be performed to mitigate further corrosion.,5,2,,4,High,25-01-2024
AS0047,Plant-C,17-02-2000,26-04-2020,,Finned Tube Heat Exchanger,High Corrosion,23-05-2009,Pitting,Pitting corrosion was found with 0.31 degradation of  Finned Tube Heat Exchanger on 0.29 of surface area,Retrofitment,The affected area will be repaired and reinforced.,6,2,,91,High,26-01-2024
AS0048,Plant-C,26-08-1999,27-04-2020,,Finned Tube Heat Exchanger,No Issue seen,18-08-2012,Atmospheric,Atmospheric corrosion was found with 0 degradation of  Finned Tube Heat Exchanger on 0 of surface area,NA,,,,,0,Medium,27-01-2024
AS0043,Plant-A,04-06-1999,28-04-2020,,Finned Tube Heat Exchanger,Sign of Corrosion,28-11-2017,Pitting,Pitting corrosion was found with 0.06 degradation of  Finned Tube Heat Exchanger on 0.53 of surface area,Maintenance,Regular maintenance will be performed to mitigate further corrosion.,4,2,,5,High,28-01-2024
AS0044,Plant-A,17-10-2000,29-04-2020,,Finned Tube Heat Exchanger,No Issue seen,,Erosion,Erosion corrosion was found with 0 degradation of  Finned Tube Heat Exchanger on 0 of surface area,NA,,,,,0,Medium,29-01-2024
AS0045,Plant-B,06-12-1998,30-04-2020,,Finned Tube Heat Exchanger,NA,22-06-2017,Atmospheric,Atmospheric corrosion was found with 0 degradation of  Finned Tube Heat Exchanger on 0 of surface area,NA,,,,,275,Low,30-01-2024
AS0046,Plant-B,03-08-2000,01-05-2020,,Finned Tube Heat Exchanger,Equipment deformation Seen,,Pitting,Pitting corrosion was found with 0.51 degradation of  Finned Tube Heat Exchanger on 0.53 of surface area,Replacement,The affected section of the heat exchanger will be replaced to ensure optimal performance.,7,3,,589,Low,31-01-2024
AS0047,Plant-C,29-03-2000,02-05-2020,,Firetube Boiler,Equipment deformation Seen,06-05-2007,Pitting,Pitting corrosion was found with 0.59 degradation of  Firetube Boiler on 0.59 of surface area,Replacement,The affected section of the boiler will be replaced to ensure optimal performance.,8,3,,103,Low,01-02-2024
AS0049,Plant-A,01-12-1998,03-05-2020,,Firetube Boiler,Equipment deformation Seen,29-12-2017,Fatigue,Fatigue corrosion was found with 0.55 degradation of  Firetube Boiler on 0.34 of surface area,Replacement,The affected section of the boiler will be replaced to ensure optimal performance.,7,3,,314,High,02-02-2024
AS0050,Plant-A,22-12-1999,04-05-2020,,Firetube Boiler,NA,,Fatigue,Fatigue corrosion was found with 0 degradation of  Firetube Boiler on 0 of surface area,NA,,,,,521,Low,03-02-2024
AS0051,Plant-B,01-07-2000,05-05-2020,,Firetube Boiler,High Corrosion,14-11-2012,Atmospheric,Atmospheric corrosion was found with 0.3 degradation of  Firetube Boiler on 0.5 of surface area,Retrofitment,The affected area will be repaired and reinforced.,6,2,,95,Medium,04-02-2024
AS0052,Plant-B,29-12-1999,06-05-2020,,Firetube Boiler,NA,18-07-2011,Erosion,Erosion corrosion was found with 0 degradation of  Firetube Boiler on 0 of surface area,NA,,,,,285,High,05-02-2024
AS0053,Plant-C,20-06-1999,07-05-2020,,Firetube Boiler,High Corrosion,19-08-2011,Stress,Stress corrosion was found with 0.31 degradation of  Firetube Boiler on 0.54 of surface area,Retrofitment,The affected area will be repaired and reinforced.,7,2,,83,Medium,06-02-2024
AS0054,Plant-C,04-08-2001,08-05-2020,,Firetube Boiler,No Issue seen,13-03-2017,Atmospheric,Atmospheric corrosion was found with 0 degradation of  Firetube Boiler on 0 of surface area,NA,,,,,0,High,07-02-2024
AS0049,Plant-A,15-08-2000,09-05-2020,,Firetube Boiler,Sign of Corrosion,,Stress,Stress corrosion was found with 0.19 degradation of  Firetube Boiler on 0.61 of surface area,Maintenance,The affected section of the boiler will be replaced to ensure optimal performance.,8,3,,3,Medium,08-02-2024
AS0050,Plant-A,06-04-2000,10-05-2020,,Firetube Boiler,Sign of Corrosion,,Erosion,Erosion corrosion was found with 0.13 degradation of  Firetube Boiler on 0.53 of surface area,Maintenance,,,,,3,High,09-02-2024
AS0051,Plant-B,12-02-2000,11-05-2020,,Firetube Boiler,No Issue seen,14-06-2014,Fatigue,Fatigue corrosion was found with 0 degradation of  Firetube Boiler on 0 of surface area,NA,The affected area will be repaired and reinforced.,6,2,,0,Medium,10-02-2024
AS0052,Plant-B,02-05-2001,12-05-2020,,Firetube Boiler,Sign of Corrosion,26-08-2010,Fatigue,Fatigue corrosion was found with 0.24 degradation of  Firetube Boiler on 0.26 of surface area,Maintenance,The affected section of the boiler will be replaced to ensure optimal performance.,8,3,,7,Low,11-02-2024
AS0053,Plant-C,03-08-2001,13-05-2020,,Firetube Boiler,Equipment deformation Seen,29-07-2017,Pitting,Pitting corrosion was found with 0.5 degradation of  Firetube Boiler on 0.32 of surface area,Replacement,The entire heat exchanger will be replaced to ensure optimal performance.,10,4,,348,Medium,12-02-2024
AS0054,Plant-C,14-10-2000,14-05-2020,,Firetube Boiler,Equipment deformation Seen,08-09-2016,Fatigue,Fatigue corrosion was found with 0.6 degradation of  Firetube Boiler on 0.52 of surface area,Replacement,,,,,504,Low,13-02-2024
AS0049,Plant-A,15-04-2000,15-05-2020,,Firetube Boiler,NA,,Atmospheric,Atmospheric corrosion was found with 0 degradation of  Firetube Boiler on 0 of surface area,NA,The entire heat exchanger will be replaced to ensure optimal performance.,10,4,,155,Medium,14-02-2024
AS0050,Plant-A,17-06-2000,16-05-2020,,Firetube Boiler,Sign of Corrosion,,Erosion,Erosion corrosion was found with 0.23 degradation of  Firetube Boiler on 0.46 of surface area,Maintenance,The affected section of the heat exchanger will be replaced to ensure optimal performance.,7,3,,10,Medium,15-02-2024
AS0051,Plant-B,10-07-2000,17-05-2020,,Firetube Boiler,No Issue seen,06-09-2012,Atmospheric,Atmospheric corrosion was found with 0 degradation of  Firetube Boiler on 0 of surface area,NA,,,,,0,High,16-02-2024
AS0052,Plant-B,29-08-2001,18-05-2020,,Firetube Boiler,NA,12-03-2007,Stress,Stress corrosion was found with 0 degradation of  Firetube Boiler on 0 of surface area,NA,,,,,462,Low,17-02-2024
AS0053,Plant-C,31-12-1999,19-05-2020,,Firetube Boiler,NA,13-01-2017,Pitting,Pitting corrosion was found with 0 degradation of  Firetube Boiler on 0 of surface area,NA,,,,,537,Medium,18-02-2024
AS0054,Plant-C,04-03-2000,20-05-2020,,Firetube Boiler,Sign of Corrosion,04-06-2014,Pitting,Pitting corrosion was found with 0.19 degradation of  Firetube Boiler on 0.41 of surface area,Maintenance,Regular maintenance will be performed to mitigate further corrosion.,5,2,,6,Medium,19-02-2024
AS0049,Plant-A,11-11-2000,21-05-2020,,Gate Valve,NA,,Fatigue,Fatigue corrosion was found with 0 degradation of  Gate Valve on 0 of surface area,NA,,,,,129,High,20-02-2024
AS0055,Plant-A,19-06-1999,22-05-2020,,Gate Valve,NA,,Atmospheric,Atmospheric corrosion was found with 0 degradation of  Gate Valve on 0 of surface area,NA,,,,,200,Medium,21-02-2024
AS0056,Plant-A,17-07-2000,23-05-2020,,Gate Valve,No Issue seen,,Erosion,Erosion corrosion was found with 0 degradation of  Gate Valve on 0 of surface area,NA,,,,,0,Low,22-02-2024
AS0057,Plant-B,16-07-2001,24-05-2020,,Gate Valve,No Issue seen,19-01-2012,Atmospheric,Atmospheric corrosion was found with 0 degradation of  Gate Valve on 0 of surface area,NA,,,,,0,High,23-02-2024
AS0058,Plant-B,27-04-1999,25-05-2020,,Gate Valve,Sign of Corrosion,,Atmospheric,Atmospheric corrosion was found with 0.18 degradation of  Gate Valve on 0.54 of surface area,Maintenance,The affected area will be repaired and reinforced.,6,2,,6,High,24-02-2024
AS0059,Plant-C,07-08-2001,26-05-2020,,Gate Valve,High Corrosion,,Atmospheric,Atmospheric corrosion was found with 0.3 degradation of  Gate Valve on 0.58 of surface area,Retrofitment,The affected area will be replaced to ensure optimal performance.,7,3,,21,Low,25-02-2024
AS0060,Plant-C,19-10-1999,27-05-2020,,Gate Valve,Sign of Corrosion,22-03-2015,Atmospheric,Atmospheric corrosion was found with 0.14 degradation of  Gate Valve on 0.44 of surface area,Maintenance,Regular maintenance will be performed to mitigate further corrosion.,5,2,,9,High,26-02-2024
AS0055,Plant-A,11-06-2001,28-05-2020,,Gate Valve,No Issue seen,18-09-2011,Stress,Stress corrosion was found with 0 degradation of  Gate Valve on 0 of surface area,NA,,,,,0,High,27-02-2024
AS0056,Plant-A,26-06-2001,29-05-2020,,Gate Valve,NA,31-10-2015,Atmospheric,Atmospheric corrosion was found with 0 degradation of  Gate Valve on 0 of surface area,NA,,,,,209,High,28-02-2024
AS0057,Plant-B,22-06-2000,30-05-2020,,Gate Valve,No Issue seen,24-07-2010,Stress,Stress corrosion was found with 0 degradation of  Gate Valve on 0 of surface area,NA,,,,,0,High,29-02-2024
AS0058,Plant-B,27-11-2000,31-05-2020,,Gate Valve,Sign of Corrosion,26-06-2008,Atmospheric,Atmospheric corrosion was found with 0.08 degradation of  Gate Valve on 0.44 of surface area,Maintenance,Regular maintenance will be performed to mitigate further corrosion.,5,2,,10,Medium,01-03-2024
AS0059,Plant-C,04-05-2001,01-06-2020,,Gate Valve,Equipment deformation Seen,07-11-2008,Atmospheric,Atmospheric corrosion was found with 0.42 degradation of  Gate Valve on 0.42 of surface area,Replacement,The affected valve will be replaced to ensure optimal performance.,8,3,,187,Low,02-03-2024
AS0060,Plant-C,19-05-2001,02-06-2020,,Gate Valve,No Issue seen,,Stress,Stress corrosion was found with 0 degradation of  Gate Valve on 0 of surface area,NA,,,,,0,Low,03-03-2024
AS0055,Plant-A,25-07-1999,03-06-2020,,Gate Valve,NA,12-08-2016,Fatigue,Fatigue corrosion was found with 0 degradation of  Gate Valve on 0 of surface area,NA,,,,,192,High,04-03-2024
AS0056,Plant-A,04-12-1998,04-06-2020,,Gate Valve,Sign of Corrosion,14-05-2011,Pitting,Pitting corrosion was found with 0.16 degradation of  Gate Valve on 0.54 of surface area,Maintenance,The affected area will be repaired and reinforced.,6,2,,9,High,05-03-2024
AS0057,Plant-B,14-12-2000,05-06-2020,,Gate Valve,Equipment deformation Seen,,Fatigue,Fatigue corrosion was found with 0.51 degradation of  Gate Valve on 0.34 of surface area,Replacement,The affected valve will be replaced to ensure optimal performance.,8,3,,258,Medium,06-03-2024
AS0058,Plant-B,09-10-2000,06-06-2020,,Gate Valve,No Issue seen,11-06-2010,Stress,Stress corrosion was found with 0 degradation of  Gate Valve on 0 of surface area,NA,,,,,0,High,07-03-2024
AS0059,Plant-C,07-09-1999,07-06-2020,,Gate Valve,Sign of Corrosion,09-12-2017,Pitting,Pitting corrosion was found with 0.13 degradation of  Gate Valve on 0.47 of surface area,Maintenance,Regular maintenance will be performed to mitigate further corrosion.,5,2,,5,Low,08-03-2024
AS0060,Plant-C,30-06-1999,08-06-2020,,Gate Valve,NA,,Atmospheric,Atmospheric corrosion was found with 0 degradation of  Gate Valve on 0 of surface area,NA,,,,,333,Medium,09-03-2024
AS0055,Plant-A,16-10-2000,09-06-2020,,Gate Valve,Equipment deformation Seen,19-10-2009,Atmospheric,Atmospheric corrosion was found with 0.46 degradation of  Gate Valve on 0.44 of surface area,Replacement,The affected valve will be replaced to ensure optimal performance.,8,3,,542,Low,10-03-2024
AS0056,Plant-A,20-02-2001,10-06-2020,,Gate Valve,Equipment deformation Seen,,Atmospheric,Atmospheric corrosion was found with 0.4 degradation of  Gate Valve on 0.43 of surface area,Replacement,The affected valve will be replaced to ensure optimal performance.,8,3,,184,Medium,11-03-2024
AS0057,Plant-B,26-12-1998,11-06-2020,,Gate Valve,Equipment deformation Seen,01-01-2014,Erosion,Erosion corrosion was found with 0.52 degradation of  Gate Valve on 0.51 of surface area,Replacement,The affected valve will be replaced to ensure optimal performance.,8,3,,260,Low,12-03-2024
AS0058,Plant-B,01-01-2000,12-06-2020,,Gate Valve,No Issue seen,08-07-2016,Pitting,Pitting corrosion was found with 0 degradation of  Gate Valve on 0 of surface area,NA,,,,,0,Low,13-03-2024
AS0059,Plant-C,14-07-1999,13-06-2020,,Plate Heat Exchange,Sign of Corrosion,06-04-2012,Fatigue,Fatigue corrosion was found with 0.21 degradation of  Plate Heat Exchange on 0.32 of surface area,Maintenance,The affected area will be repaired and reinforced.,6,2,,2,Low,14-03-2024
AS0061,Plant-A,10-07-2000,14-06-2020,,Plate Heat Exchange,High Corrosion,28-10-2016,Atmospheric,Atmospheric corrosion was found with 0.4 degradation of  Plate Heat Exchange on 0.5 of surface area,Retrofitment,The affected heat exchanger will be replaced to ensure optimal performance.,10,4,,34,Low,15-03-2024
AS0062,Plant-A,05-06-2000,15-06-2020,,Plate Heat Exchange,NA,17-04-2016,Erosion,Erosion corrosion was found with 0 degradation of  Plate Heat Exchange on 0 of surface area,NA,,,,,243,Medium,16-03-2024
AS0063,Plant-B,26-03-2000,16-06-2020,,Plate Heat Exchange,No Issue seen,28-03-2008,Pitting,Pitting corrosion was found with 0 degradation of  Plate Heat Exchange on 0 of surface area,NA,,,,,0,Low,17-03-2024
AS0064,Plant-B,24-05-2000,17-06-2020,,Plate Heat Exchange,Sign of Corrosion,06-05-2010,Erosion,Erosion corrosion was found with 0.15 degradation of  Plate Heat Exchange on 0.49 of surface area,Maintenance,Regular maintenance will be performed to mitigate further corrosion.,5,2,,2,Medium,18-03-2024
AS0065,Plant-C,10-03-2001,18-06-2020,,Plate Heat Exchange,No Issue seen,,Atmospheric,Atmospheric corrosion was found with 0 degradation of  Plate Heat Exchange on 0 of surface area,NA,,,,,0,Medium,19-03-2024
AS0066,Plant-C,09-11-1999,19-06-2020,,Plate Heat Exchange,Equipment deformation Seen,10-06-2016,Stress,Stress corrosion was found with 0.54 degradation of  Plate Heat Exchange on 0.5 of surface area,Replacement,The affected heat exchanger will be replaced to ensure optimal performance.,10,4,,455,High,20-03-2024
AS0061,Plant-A,25-04-2000,20-06-2020,,Plate Heat Exchange,High Corrosion,06-07-2012,Stress,Stress corrosion was found with 0.37 degradation of  Plate Heat Exchange on 0.52 of surface area,Retrofitment,The affected area will be replaced to ensure optimal performance.,7,3,,99,Medium,21-03-2024
AS0062,Plant-A,20-11-2000,21-06-2020,,Plate Heat Exchange,Sign of Corrosion,,Fatigue,Fatigue corrosion was found with 0.05 degradation of  Plate Heat Exchange on 0.29 of surface area,Maintenance,The affected area will be repaired and reinforced.,6,2,,9,Medium,22-03-2024
AS0063,Plant-B,07-04-2000,22-06-2020,,Plate Heat Exchange,Sign of Corrosion,07-03-2010,Stress,Stress corrosion was found with 0.19 degradation of  Plate Heat Exchange on 0.28 of surface area,Maintenance,Regular maintenance will be performed to mitigate further corrosion.,5,2,,2,Low,23-03-2024
AS0064,Plant-B,13-08-2001,23-06-2020,,Plate Heat Exchange,Equipment deformation Seen,,Atmospheric,Atmospheric corrosion was found with 0.46 degradation of  Plate Heat Exchange on 0.27 of surface area,Replacement,The affected heat exchanger will be replaced to ensure optimal performance.,10,4,,498,Low,24-03-2024
AS0065,Plant-C,20-07-2001,24-06-2020,,Plate Heat Exchange,No Issue seen,12-10-2017,Erosion,Erosion corrosion was found with 0 degradation of  Plate Heat Exchange on 0 of surface area,NA,,,,,0,Medium,25-03-2024
AS0066,Plant-C,10-01-1999,25-06-2020,,Plate Heat Exchange,No Issue seen,15-02-2016,Stress,Stress corrosion was found with 0 degradation of  Plate Heat Exchange on 0 of surface area,NA,,,,,0,High,26-03-2024
AS0061,Plant-A,24-05-2000,26-06-2020,,Plate Heat Exchange,High Corrosion,,Erosion,Erosion corrosion was found with 0.25 degradation of  Plate Heat Exchange on 0.61 of surface area,Retrofitment,The affected area will be replaced to ensure optimal performance.,7,3,,72,Low,27-03-2024
AS0062,Plant-A,13-05-2001,27-06-2020,,Plate Heat Exchange,Sign of Corrosion,,Erosion,Erosion corrosion was found with 0.23 degradation of  Plate Heat Exchange on 0.38 of surface area,Maintenance,Regular maintenance will be performed to mitigate further corrosion.,5,2,,9,Low,28-03-2024
AS0063,Plant-B,01-02-2001,28-06-2020,,Plate Heat Exchange,No Issue seen,04-08-2012,Atmospheric,Atmospheric corrosion was found with 0 degradation of  Plate Heat Exchange on 0 of surface area,NA,,,,,0,Low,29-03-2024
AS0064,Plant-B,07-10-1999,29-06-2020,,Plate Heat Exchange,No Issue seen,,Atmospheric,Atmospheric corrosion was found with 0 degradation of  Plate Heat Exchange on 0 of surface area,NA,,,,,0,Medium,30-03-2024
AS0065,Plant-C,14-06-2001,30-06-2020,,Resiprocating Pump,Sign of Corrosion,20-03-2009,Atmospheric,Atmospheric corrosion was found with 0.06 degradation of  Resiprocating Pump on 0.27 of surface area,Maintenance,Regular maintenance will be performed to mitigate further corrosion.,5,2,,8,Low,31-03-2024
AS0067,Plant-A,25-07-1999,01-07-2020,,Resiprocating Pump,Equipment deformation Seen,,Stress,Stress corrosion was found with 0.46 degradation of  Resiprocating Pump on 0.4 of surface area,Replacement,The affected area will be replaced to ensure optimal performance.,7,3,,541,High,01-04-2024
AS0068,Plant-A,15-03-2001,02-07-2020,,Resiprocating Pump,Sign of Corrosion,04-10-2016,Fatigue,Fatigue corrosion was found with 0.06 degradation of  Resiprocating Pump on 0.29 of surface area,Maintenance,The affected area will be repaired and reinforced.,6,2,,6,Medium,02-04-2024
AS0069,Plant-B,08-01-1999,03-07-2020,,Resiprocating Pump,Equipment deformation Seen,29-01-2013,Fatigue,Fatigue corrosion was found with 0.47 degradation of  Resiprocating Pump on 0.46 of surface area,Replacement,,,,,501,Low,03-04-2024
AS0070,Plant-B,29-10-1999,04-07-2020,,Resiprocating Pump,High Corrosion,18-11-2012,Stress,Stress corrosion was found with 0.28 degradation of  Resiprocating Pump on 0.62 of surface area,Retrofitment,,,,,66,High,04-04-2024
AS0071,Plant-C,06-11-2000,05-07-2020,,Resiprocating Pump,NA,27-04-2009,Erosion,Erosion corrosion was found with 0 degradation of  Resiprocating Pump on 0 of surface area,NA,The affected pump will be replaced to ensure optimal performance.,8,3,,598,High,05-04-2024
AS0072,Plant-C,19-03-2001,06-07-2020,,Resiprocating Pump,Sign of Corrosion,,Stress,Stress corrosion was found with 0.06 degradation of  Resiprocating Pump on 0.38 of surface area,Maintenance,Repaired affected sections,5,2,,7,Low,06-04-2024
AS0067,Plant-A,06-04-2001,07-07-2020,,Resiprocating Pump,NA,04-04-2008,Erosion,Erosion corrosion was found with 0 degradation of  Resiprocating Pump on 0 of surface area,NA,,,,,159,Low,07-04-2024
AS0068,Plant-A,24-12-2000,08-07-2020,,Resiprocating Pump,Sign of Corrosion,12-04-2016,Pitting,Pitting corrosion was found with 0.15 degradation of  Resiprocating Pump on 0.44 of surface area,Maintenance,Conducted surface treatment,6,3,,5,Low,08-04-2024
AS0069,Plant-B,24-11-1999,09-07-2020,,Resiprocating Pump,No Issue seen,,Pitting,Pitting corrosion was found with 0 degradation of  Resiprocating Pump on 0 of surface area,NA,,,,,0,Low,09-04-2024
AS0070,Plant-B,09-07-1999,10-07-2020,,Resiprocating Pump,Equipment deformation Seen,20-09-2009,Erosion,Erosion corrosion was found with 0.59 degradation of  Resiprocating Pump on 0.29 of surface area,Replacement,Replaced affected components,8,4,,156,Low,10-04-2024
AS0071,Plant-C,22-03-2000,11-07-2020,,Resiprocating Pump,Equipment deformation Seen,16-12-2017,Stress,Stress corrosion was found with 0.48 degradation of  Resiprocating Pump on 0.26 of surface area,Replacement,Installed corrosion-resistant materials,7,3,,116,High,11-04-2024
AS0072,Plant-C,16-04-1999,12-07-2020,,Resiprocating Pump,No Issue seen,,Stress,Stress corrosion was found with 0 degradation of  Resiprocating Pump on 0 of surface area,NA,,,,,0,Low,12-04-2024
AS0067,Plant-A,28-01-1999,13-07-2020,,Resiprocating Pump,Sign of Corrosion,05-05-2013,Fatigue,Fatigue corrosion was found with 0.21 degradation of  Resiprocating Pump on 0.44 of surface area,Maintenance,Repaired and reinforced affected sections,6,2,,6,High,13-04-2024
AS0068,Plant-A,25-07-2001,14-07-2020,,Resiprocating Pump,Equipment deformation Seen,,Erosion,Erosion corrosion was found with 0.57 degradation of  Resiprocating Pump on 0.52 of surface area,Replacement,Replaced worn-out components,9,4,,179,Medium,14-04-2024
AS0069,Plant-B,11-02-2000,15-07-2020,,Resiprocating Pump,No Issue seen,26-10-2017,Erosion,Erosion corrosion was found with 0 degradation of  Resiprocating Pump on 0 of surface area,NA,,,,,0,Medium,15-04-2024
AS0070,Plant-B,04-02-1999,16-07-2020,,Resiprocating Pump,Sign of Corrosion,,Stress,Stress corrosion was found with 0.1 degradation of  Resiprocating Pump on 0.58 of surface area,Maintenance,Conducted surface treatment,6,3,,10,Low,16-04-2024
AS0071,Plant-C,27-03-2001,17-07-2020,,Resiprocating Pump,High Corrosion,,Stress,Stress corrosion was found with 0.37 degradation of  Resiprocating Pump on 0.35 of surface area,Retrofitment,Upgraded pump components,7,4,,11,High,17-04-2024
AS0072,Plant-C,02-04-2000,18-07-2020,,Resiprocating Pump,No Issue seen,,Erosion,Erosion corrosion was found with 0 degradation of  Resiprocating Pump on 0 of surface area,NA,,,,,0,High,18-04-2024
AS0067,Plant-A,09-12-1999,19-07-2020,,Resiprocating Pump,Sign of Corrosion,,Stress,Stress corrosion was found with 0.05 degradation of  Resiprocating Pump on 0.53 of surface area,Maintenance,Replaced damaged parts,5,2,,2,Low,19-04-2024
AS0068,Plant-A,26-12-2000,20-07-2020,,Resiprocating Pump,NA,12-06-2009,Erosion,Erosion corrosion was found with 0 degradation of  Resiprocating Pump on 0 of surface area,NA,,,,,350,High,20-04-2024
AS0069,Plant-B,11-04-2001,21-07-2020,,Resiprocating Pump,High Corrosion,24-05-2009,Pitting,Pitting corrosion was found with 0.27 degradation of  Resiprocating Pump on 0.52 of surface area,Retrofitment,Upgraded pump components,7,3,,91,Medium,21-04-2024
AS0070,Plant-B,09-08-1999,22-07-2020,,Resiprocating Pump,No Issue seen,28-10-2007,Atmospheric,Atmospheric corrosion was found with 0 degradation of  Resiprocating Pump on 0 of surface area,NA,,,,,0,Low,22-04-2024
AS0071,Plant-C,08-06-1999,23-07-2020,,Resiprocating Pump,NA,07-07-2015,Pitting,Pitting corrosion was found with 0 degradation of  Resiprocating Pump on 0 of surface area,NA,,,,,135,Medium,23-04-2024
AS0072,Plant-C,13-06-2001,24-07-2020,,Resiprocating Pump,Sign of Corrosion,,Stress,Stress corrosion was found with 0.05 degradation of  Resiprocating Pump on 0.45 of surface area,Maintenance,Conducted surface treatment,6,2,,8,Low,24-04-2024
AS0067,Plant-A,21-03-2001,25-07-2020,,Shell And Tube Heat Exchanger,Equipment deformation Seen,02-09-2015,Erosion,Erosion corrosion was found with 0.44 degradation of  Shell And Tube Heat Exchanger on 0.3 of surface area,Replacement,Replaced affected tubes,7,3,,459,Low,25-04-2024
AS0073,Plant-A,01-10-1999,26-07-2020,,Shell And Tube Heat Exchanger,Sign of Corrosion,15-05-2011,Fatigue,Fatigue corrosion was found with 0.22 degradation of  Shell And Tube Heat Exchanger on 0.35 of surface area,Maintenance,Conducted fatigue analysis,6,2,,5,Medium,26-04-2024
